bar_i,ts_utc,ts_chicago,ts_ny,unix_ms,open,high,low,close,atr,ctxDir,reactL,reactS,p58InTrade,p58State,p58StateName,p58Dir,rawTake,decision,opportunity_id,internal_dir,internal_entry,internal_stop,internal_target,internal_exit_reason,armedBar,armedBars,armedPrice,total_score,location_score,reaction_score
3134030,2026-08-26 18:24:00+00:00,2026-08-26 13:24:00-05:00,2026-08-26 14:24:00-04:00,1787768640000,29281.0,29281.75,29276.0,29277.5,7.392857142857143,BEARISH,0,2,False,-1,ARMED_SHORT,SHORT,False,ARMED,,,,,,,3134030,0,29277.5,3,1,0
3134031,2026-08-26 18:25:00+00:00,2026-08-26 13:25:00-05:00,2026-08-26 14:25:00-04:00,1787768700000,29276.5,29281.25,29271.25,29279.75,7.5,BEARISH,2,0,False,-1,ARMED_SHORT,SHORT,False,ARMED,,,,,,,3134030,1,29277.5,3,1,0
3134032,2026-08-26 18:26:00+00:00,2026-08-26 13:26:00-05:00,2026-08-26 14:26:00-04:00,1787768760000,29280.0,29281.25,29277.0,29277.5,7.196428571428571,BEARISH,1,1,True,-2,IN_SHORT,SHORT,True,TAKE_SHORT,OPP_3134032_SHORT,SHORT,29280.75,29286.147321428572,29267.256696428572,,3134030,2,29277.5,4,1,1
3134033,2026-08-26 18:27:00+00:00,2026-08-26 13:27:00-05:00,2026-08-26 14:27:00-04:00,1787768820000,29277.75,29281.5,29274.75,29280.75,7.339285714285714,BEARISH,2,0,True,-2,IN_SHORT,SHORT,False,HOLD,,SHORT,29280.75,29286.147321428572,29267.256696428572,,3134030,2,29277.5,0,0,0
3134034,2026-08-26 18:28:00+00:00,2026-08-26 13:28:00-05:00,2026-08-26 14:28:00-04:00,1787768880000,29281.25,29282.25,29279.0,29282.25,7.142857142857143,NEUTRAL,2,1,True,-2,IN_SHORT,SHORT,False,HOLD,,SHORT,29280.75,29286.147321428572,29267.256696428572,,3134030,2,29277.5,0,0,0
3134035,2026-08-26 18:29:00+00:00,2026-08-26 13:29:00-05:00,2026-08-26 14:29:00-04:00,1787768940000,29282.75,29285.0,29278.25,29280.0,7.178571428571429,NEUTRAL,0,3,True,-2,IN_SHORT,SHORT,False,HOLD,,SHORT,29280.75,29286.147321428572,29267.256696428572,,3134030,2,29277.5,0,0,0
3134036,2026-08-26 18:30:00+00:00,2026-08-26 13:30:00-05:00,2026-08-26 14:30:00-04:00,1787769000000,29279.75,29283.5,29275.75,29279.0,7.285714285714286,BULLISH,1,1,True,-2,IN_SHORT,SHORT,False,HOLD,,SHORT,29280.75,29286.147321428572,29267.256696428572,,3134030,2,29277.5,0,0,0
3134037,2026-08-26 18:31:00+00:00,2026-08-26 13:31:00-05:00,2026-08-26 14:31:00-04:00,1787769060000,29279.0,29283.0,29278.0,29282.75,6.982142857142857,BULLISH,3,0,True,-2,IN_SHORT,SHORT,False,HOLD,,SHORT,29280.75,29286.147321428572,29267.256696428572,,3134030,2,29277.5,0,0,0
3134038,2026-08-26 18:32:00+00:00,2026-08-26 13:32:00-05:00,2026-08-26 14:32:00-04:00,1787769120000,29282.5,29289.5,29281.0,29288.5,6.946428571428571,BULLISH,2,0,False,3,COOLDOWN,,False,EXIT_STOP,,,,,,STOP,3134030,2,29277.5,0,0,0
3134039,2026-08-26 18:33:00+00:00,2026-08-26 13:33:00-05:00,2026-08-26 14:33:00-04:00,1787769180000,29288.25,29303.5,29288.25,29300.25,7.535714285714286,BULLISH,2,0,False,3,COOLDOWN,,False,WATCH,,,,,,,3134030,2,29277.5,0,0,0
3134040,2026-08-26 18:34:00+00:00,2026-08-26 13:34:00-05:00,2026-08-26 14:34:00-04:00,1787769240000,29300.75,29302.0,29293.75,29297.25,7.285714285714286,BULLISH,0,1,False,3,COOLDOWN,,False,WATCH,,,,,,,3134030,2,29277.5,0,0,0
